FIPStxt,Stabr,area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
00000,US,United States,,,,"142,601,667","136,904,680","5,696,987",4.0,"143,786,778","136,978,129","6,808,649",4.7,"144,839,532","136,455,911","8,383,621",5.8,"145,660,181","136,944,540","8,715,641",6.0,"146,725,005","138,614,038","8,110,967",5.5,"148,012,786","140,462,401","7,550,385",5.1,"150,223,730","143,262,292","6,961,438",4.6,"152,191,286","145,156,247","7,035,039",4.6,"153,761,298","144,860,522","8,900,776",5.8,"153,825,791","139,594,849","14,230,942",9.3,"154,270,726","139,408,198","14,862,528",9.6,"154,606,324","140,765,822","13,840,502",9.0,"155,119,209","142,600,412","12,518,797",8.1,"155,485,689","144,018,150","11,467,539",7.4,"155,957,310","146,338,323","9,618,987",6.2,"156,798,981","148,515,185","8,283,796",5,"158,626,135","150,902,618","7,723,517",4.9,"160,158,564","153,183,461","6,975,103",4.4,"161,389,026","155,102,319","6,286,707",3.9,"163,100,055","157,115,247","5,984,808",3.7,"61,937",
01000,AL,Alabama,,,,"2,133,223","2,035,594","97,629",4.6,"2,115,401","2,006,884","108,517",5.1,"2,106,161","1,981,919","124,242",5.9,"2,120,225","1,992,732","127,493",6.0,"2,136,458","2,014,889","121,569",5.7,"2,146,025","2,049,791","96,234",4.5,"2,167,809","2,080,233","87,576",4.0,"2,175,612","2,089,127","86,485",4.0,"2,176,489","2,053,477","123,012",5.7,"2,162,999","1,924,747","238,252",11.0,"2,196,042","1,964,559","231,483",10.5,"2,202,670","1,990,413","212,257",9.6,"2,176,337","2,003,290","173,047",8.0,"2,174,000","2,017,043","156,957",7.2,"2,160,842","2,014,290","146,552",6.8,"2,161,481","2,030,005","131,476",6,"2,182,558","2,055,251","127,307",5.8,"2,186,869","2,090,373","96,496",4.4,"2,216,627","2,130,845","85,782",3.9,"2,241,747","2,174,483","67,264",3.0,"49,881",100.0
01001,AL,"Autauga County, AL",2,2,1,"21,720","20,846",874,4.0,"21,955","21,055",900,4.1,"22,094","21,035","1,059",4.8,"22,604","21,462","1,142",5.1,"23,218","22,103","1,115",4.8,"23,949","23,037",912,3.8,"24,398","23,585",813,3.3,"24,383","23,577",806,3.3,"24,687","23,420","1,267",5.1,"24,703","22,301","2,402",9.7,"25,713","23,431","2,282",8.9,"25,836","23,677","2,159",8.4,"25,740","23,961","1,779",6.9,"25,810","24,205","1,605",6.2,"25,592","24,097","1,495",5.8,"25,652","24,321","1,331",5,"26,031","24,709","1,322",5.1,"26,075","25,062","1,013",3.9,"26,196","25,261",935,3.6,"26,172","25,458",714,2.7,"59,338",119.0
01003,AL,"Baldwin County, AL",3,2,1,"69,533","66,971","2,562",3.7,"69,161","66,195","2,966",4.3,"69,169","65,691","3,478",5.0,"72,299","68,702","3,597",5.0,"74,772","70,919","3,853",5.2,"76,804","73,743","3,061",4.0,"79,711","77,147","2,564",3.2,"82,659","80,099","2,560",3.1,"83,223","79,372","3,851",4.6,"82,451","74,403","8,048",9.8,"83,459","75,120","8,339",10.0,"85,045","77,418","7,627",9.0,"84,414","78,065","6,349",7.5,"85,280","79,626","5,654",6.6,"86,384","81,083","5,301",6.1,"87,872","83,010","4,862",6,"90,895","86,060","4,835",5.3,"92,456","88,711","3,745",4.1,"95,233","91,809","3,424",3.6,"97,328","94,675","2,653",2.7,"57,588",115.5
01005,AL,"Barbour County, AL",6,6,0,"11,373","10,748",625,5.5,"11,250","10,412",838,7.4,"10,971","10,125",846,7.7,"10,977","10,196",781,7.1,"10,633","9,865",768,7.2,"10,760","10,136",624,5.8,"10,705","10,096",609,5.7,"10,334","9,684",650,6.3,"10,161","9,267",894,8.8,"10,003","8,572","1,431",14.3,"10,221","8,959","1,262",12.3,"9,849","8,712","1,137",11.5,"9,362","8,283","1,079",11.5,"9,099","8,168",931,10.2,"8,845","7,913",932,10.5,"8,625","7,860",765,9,"8,436","7,736",700,8.3,"8,349","7,863",486,5.8,"8,414","7,987",427,5.1,"8,537","8,213",324,3.8,"34,382",68.9
01007,AL,"Bibb County, AL",1,1,1,"8,565","8,111",454,5.3,"9,081","8,468",613,6.8,"8,933","8,309",624,7.0,"8,836","8,309",527,6.0,"8,843","8,359",484,5.5,"8,861","8,463",398,4.5,"8,850","8,477",373,4.2,"8,791","8,432",359,4.1,"8,749","8,241",508,5.8,"8,742","7,581","1,161",13.3,"8,934","7,914","1,020",11.4,"8,933","7,996",937,10.5,"8,798","8,047",751,8.5,"8,705","8,016",689,7.9,"8,559","7,942",617,7.2,"8,589","8,021",568,7,"8,644","8,088",556,6.4,"8,583","8,208",375,4.4,"8,605","8,268",337,3.9,"8,685","8,419",266,3.1,"46,064",92.3
01009,AL,"Blount County, AL",1,1,1,"25,106","24,231",875,3.5,"25,305","24,393",912,3.6,"25,757","24,366","1,391",5.4,"25,900","24,702","1,198",4.6,"26,208","25,101","1,107",4.2,"26,446","25,491",955,3.6,"26,770","25,902",868,3.2,"26,629","25,780",849,3.2,"26,698","25,453","1,245",4.7,"26,480","23,832","2,648",10.0,"24,906","22,460","2,446",9.8,"25,123","22,939","2,184",8.7,"24,960","23,244","1,716",6.9,"24,887","23,325","1,562",6.3,"24,527","23,023","1,504",6.1,"24,521","23,198","1,323",5,"24,684","23,358","1,326",5.4,"24,822","23,824",998,4.0,"25,069","24,201",868,3.5,"25,331","24,655",676,2.7,"50,412",101.1
01011,AL,"Bullock County, AL",6,6,0,"3,971","3,635",336,8.5,"3,912","3,524",388,9.9,"3,877","3,483",394,10.2,"3,979","3,540",439,11.0,"3,880","3,430",450,11.6,"3,747","3,391",356,9.5,"3,702","3,372",330,8.9,"3,653","3,308",345,9.4,"3,634","3,251",383,10.5,"3,739","3,156",583,15.6,"4,941","4,356",585,11.8,"4,833","4,272",561,11.6,"4,736","4,245",491,10.4,"4,778","4,331",447,9.4,"4,732","4,314",418,8.8,"4,785","4,406",379,8,"4,844","4,514",330,6.8,"4,852","4,614",238,4.9,"4,791","4,571",220,4.6,"4,818","4,643",175,3.6,"29,267",58.7
01013,AL,"Butler County, AL",6,6,0,"9,156","8,445",711,7.8,"9,003","8,328",675,7.5,"9,144","8,424",720,7.9,"9,183","8,386",797,8.7,"9,088","8,224",864,9.5,"9,139","8,547",592,6.5,"9,238","8,709",529,5.7,"9,099","8,539",560,6.2,"9,051","8,278",773,8.5,"9,104","7,615","1,489",16.4,"9,261","7,998","1,263",13.6,"9,188","8,042","1,146",12.5,"9,088","8,039","1,049",11.5,"9,147","8,206",941,10.3,"9,270","8,477",793,8.6,"9,151","8,457",694,8,"9,229","8,593",636,6.9,"8,975","8,481",494,5.5,"8,973","8,553",420,4.7,"9,263","8,925",338,3.6,"37,365",74.9
01015,AL,"Calhoun County, AL",3,2,1,"52,896","50,223","2,673",5.1,"51,578","48,744","2,834",5.5,"51,952","48,851","3,101",6.0,"52,817","49,673","3,144",6.0,"54,026","51,065","2,961",5.5,"53,955","51,524","2,431",4.5,"54,063","51,872","2,191",4.1,"54,861","52,709","2,152",3.9,"54,564","51,468","3,096",5.7,"53,925","47,929","5,996",11.1,"51,559","45,699","5,860",11.4,"51,268","45,963","5,305",10.3,"49,649","45,252","4,397",8.9,"48,405","44,163","4,242",8.8,"47,237","43,467","3,770",8.0,"45,995","42,764","3,231",7,"46,013","43,016","2,997",6.5,"45,950","43,679","2,271",4.9,"46,307","44,191","2,116",4.6,"46,209","44,574","1,635",3.5,"45,400",91.0
